response,contrast,Matrix,Recombination,Map_type,QTL,H2,estimate,SE,df,z.ratio,p.value
genetic variance,3 - 4,GW,20X,Chr,2,2,-0.00935790371130614,0.00224470940633542,Inf,-4.168870894778,3.06112313639006e-05
genetic variance,3 - 4,GW,2X,Chr,2,2,-0.00869614651936323,0.00224470940633545,Inf,-3.87406338424888,0.00010703555420704
genetic variance,3 - 4,GW,20X,Peri,2,2,-0.00816588107001754,0.00224470940633547,Inf,-3.63783438825986,0.000274940113902625
genetic variance,3 - 4,GW,2X,Peri,2,2,-0.009298781732656,0.00224470940633545,Inf,-4.1425325284472,3.43491631215905e-05
genetic variance,3 - 4,GW,20X,WT,2,2,-0.00549416203446578,0.00224470940633547,Inf,-2.44760503028101,0.0143809204239758
genetic variance,3 - 4,GW,2X,WT,2,2,-0.00941623175999898,0.00224470940633545,Inf,-4.19485557169346,2.73045512625886e-05
genetic variance,3 - 4,CV,20X,Chr,200,2,-0.0112683600111207,0.0022447094063354,Inf,-5.0199638221844,5.16812120301516e-07
genetic variance,3 - 4,CV,2X,Chr,200,2,-0.00998011745300474,0.00224470940633544,Inf,-4.44606211603024,8.74586692354653e-06
genetic variance,3 - 4,CV,20X,Peri,200,2,-0.00898339085592237,0.00224470940633546,Inf,-4.00202842762974,6.28017508238747e-05
genetic variance,3 - 4,CV,2X,Peri,200,2,-0.00848859562992461,0.00224470940633545,Inf,-3.78160113107133,0.000155822894706026
genetic variance,3 - 4,CV,20X,Chr,200,8,-0.0146494874442028,0.00224470940633545,Inf,-6.52622891981307,6.74462133851327e-11
genetic variance,3 - 4,GW,2X,Chr,200,8,-0.00485778411994182,0.00224470940633545,Inf,-2.1641037838712,0.0304563851843854
genetic variance,3 - 4,CV,20X,Peri,200,8,-0.00705425675665987,0.00224470940633545,Inf,-3.14261469068112,0.00167446099484098
