response,contrast,Matrix,Recombination,Map_type,QTL,H2,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic variance,1 - 2,GW,20X,Chr,2,2,DV,-0.11204653261667,0.00628011413484592,Inf,-17.8414802996919,0
Genetic variance,1 - 3,GW,20X,Chr,2,2,DV,-0.102368931133519,0.00628011413484597,Inf,-16.3004889617392,0
Genetic variance,1 - 4,GW,20X,Chr,2,2,DV,-0.0603742212441058,0.00628011413484603,Inf,-9.61355477746997,3.74145159298678e-14
Genetic variance,1 - 5,GW,20X,Chr,2,2,DV,-0.10180501152538,0.00628011413484594,Inf,-16.210694477749,0
Genetic variance,2 - 4,GW,20X,Chr,2,2,DV,0.0516723113725639,0.00628011413484601,Inf,8.22792552222158,5.92859095149834e-14
Genetic variance,3 - 4,GW,20X,Chr,2,2,DV,0.0419947098894131,0.00628011413484603,Inf,6.68693418426903,2.27873608871221e-10
Genetic variance,4 - 5,GW,20X,Chr,2,2,DV,-0.0414307902812745,0.00628011413484603,Inf,-6.59713970027875,4.19070333990135e-10
Genetic variance,1 - 2,GW,2X,Chr,2,2,DV,-0.0810457276671204,0.0062801141348461,Inf,-12.905136105318,0
Genetic variance,1 - 3,GW,2X,Chr,2,2,DV,-0.0850191550189736,0.00628011413484613,Inf,-13.5378359681765,0
Genetic variance,1 - 4,GW,2X,Chr,2,2,DV,-0.0618284845869446,0.00628011413484612,Inf,-9.84512116489735,4.94049245958195e-14
Genetic variance,1 - 5,GW,2X,Chr,2,2,DV,-0.0825864630292396,0.00628011413484608,Inf,-13.1504716723216,0
Genetic variance,2 - 4,GW,2X,Chr,2,2,DV,0.0192172430801758,0.00628011413484605,Inf,3.06001494042065,0.0188116607402006
Genetic variance,3 - 4,GW,2X,Chr,2,2,DV,0.023190670432029,0.00628011413484603,Inf,3.69271480327922,0.00206900896913065
Genetic variance,4 - 5,GW,2X,Chr,2,2,DV,-0.0207579784422951,0.00628011413484604,Inf,-3.30535050742417,0.00842444087761818
Genetic variance,1 - 2,GW,20X,Peri,2,2,DV,-0.103773709280218,0.00628011413484594,Inf,-16.524175684072,0
Genetic variance,1 - 3,GW,20X,Peri,2,2,DV,-0.11622053648143,0.00628011413484593,Inf,-18.5061185172682,0
Genetic variance,1 - 4,GW,20X,Peri,2,2,DV,-0.0594207050673544,0.00628011413484592,Inf,-9.46172375079171,4.35207425653061e-14
Genetic variance,1 - 5,GW,20X,Peri,2,2,DV,-0.093561724487186,0.00628011413484595,Inf,-14.8980930088591,0
Genetic variance,2 - 4,GW,20X,Peri,2,2,DV,0.0443530042128635,0.00628011413484605,Inf,7.06245193328015,1.639377522622e-11
Genetic variance,3 - 4,GW,20X,Peri,2,2,DV,0.0567998314140755,0.00628011413484604,Inf,9.04439476647632,6.69464483848969e-14
Genetic variance,3 - 5,GW,20X,Peri,2,2,DV,0.0226588119942438,0.00628011413484606,Inf,3.60802550840889,0.00285180351386583
Genetic variance,4 - 5,GW,20X,Peri,2,2,DV,-0.0341410194198317,0.00628011413484605,Inf,-5.43636925806741,5.41752750882196e-07
Genetic variance,1 - 2,GW,2X,Peri,2,2,DV,-0.097423375911165,0.00628011413484604,Inf,-15.5129944805618,0
Genetic variance,1 - 3,GW,2X,Peri,2,2,DV,-0.0798830369841183,0.00628011413484605,Inf,-12.7199976415837,0
Genetic variance,1 - 4,GW,2X,Peri,2,2,DV,-0.061400692233033,0.00628011413484604,Inf,-9.77700260132905,5.37347943918576e-14
Genetic variance,1 - 5,GW,2X,Peri,2,2,DV,-0.085434596947194,0.00628011413484603,Inf,-13.6039879391919,0
Genetic variance,2 - 3,GW,2X,Peri,2,2,DV,0.0175403389270467,0.00628011413484602,Inf,2.79299683897811,0.0416940399580672
Genetic variance,2 - 4,GW,2X,Peri,2,2,DV,0.0360226836781319,0.00628011413484602,Inf,5.73599187923281,9.67455761058389e-08
Genetic variance,3 - 4,GW,2X,Peri,2,2,DV,0.0184823447510853,0.00628011413484603,Inf,2.94299504025469,0.0269367271947605
Genetic variance,4 - 5,GW,2X,Peri,2,2,DV,-0.024033904714161,0.00628011413484605,Inf,-3.82698533786284,0.00122463190793054
Genetic variance,1 - 2,GW,20X,WT,2,2,DV,-0.0576213345599477,0.00628011413484599,Inf,-9.17520499193296,5.88418203051333e-14
Genetic variance,1 - 3,GW,20X,WT,2,2,DV,-0.0774604520188816,0.00628011413484599,Inf,-12.3342427152849,0
Genetic variance,1 - 4,GW,20X,WT,2,2,DV,-0.0521034044969827,0.00628011413484599,Inf,-8.296569676637,5.58442181386454e-14
Genetic variance,1 - 5,GW,20X,WT,2,2,DV,-0.0741909653062849,0.00628011413484599,Inf,-11.8136332737374,0
Genetic variance,2 - 3,GW,20X,WT,2,2,DV,-0.0198391174589339,0.00628011413484604,Inf,-3.15903772335187,0.013713960461708
Genetic variance,3 - 4,GW,20X,WT,2,2,DV,0.0253570475218989,0.00628011413484603,Inf,4.03767303864783,0.000517596166560663
Genetic variance,4 - 5,GW,20X,WT,2,2,DV,-0.0220875608093023,0.00628011413484603,Inf,-3.51706359710034,0.0039907976597866
Genetic variance,1 - 2,GW,2X,WT,2,2,DV,-0.0689500335349831,0.00628011413484603,Inf,-10.9791051650486,4.10782519111308e-14
Genetic variance,1 - 3,GW,2X,WT,2,2,DV,-0.0854853777483261,0.00628011413484606,Inf,-13.6120739070647,0
Genetic variance,1 - 4,GW,2X,WT,2,2,DV,-0.0538381381296228,0.00628011413484605,Inf,-8.57279612656954,4.46309655899313e-14
Genetic variance,1 - 5,GW,2X,WT,2,2,DV,-0.0667086812862226,0.00628011413484601,Inf,-10.6222084270859,4.5852210917019e-14
Genetic variance,3 - 4,GW,2X,WT,2,2,DV,0.0316472396187033,0.00628011413484604,Inf,5.03927778049516,4.63622374813344e-06
Genetic variance,3 - 5,GW,2X,WT,2,2,DV,0.0187766964621035,0.00628011413484603,Inf,2.98986547997887,0.0233732396121996
Genetic variance,1 - 2,CV,20X,Chr,200,2,DV,-0.0500456379195391,0.00628011413484583,Inf,-7.96890579453899,8.42659275690494e-14
Genetic variance,1 - 3,CV,20X,Chr,200,2,DV,-0.0910636568204658,0.00628011413484584,Inf,-14.5003187625508,0
Genetic variance,1 - 4,CV,20X,Chr,200,2,DV,-0.104222151865383,0.00628011413484582,Inf,-16.5955824412643,0
Genetic variance,2 - 3,CV,20X,Chr,200,2,DV,-0.0410180189009267,0.00628011413484607,Inf,-6.53141296801161,6.51319553846008e-10
Genetic variance,2 - 4,CV,20X,Chr,200,2,DV,-0.0541765139458441,0.00628011413484607,Inf,-8.62667664672499,4.30766533554561e-14
Genetic variance,2 - 5,CV,20X,Chr,200,2,DV,0.0334294773627277,0.00628011413484606,Inf,5.32306844189976,1.01559702947451e-06
Genetic variance,3 - 5,CV,20X,Chr,200,2,DV,0.0744474962636543,0.00628011413484608,Inf,11.8544814099113,0
Genetic variance,4 - 5,CV,20X,Chr,200,2,DV,0.0876059913085718,0.0062801141348461,Inf,13.9497450886247,0
Genetic variance,1 - 2,GW,20X,Chr,200,2,DV,-0.0409039413404089,0.00628011413484612,Inf,-6.5132480815034,7.35185468059285e-10
Genetic variance,1 - 3,GW,20X,Chr,200,2,DV,-0.0768090608509719,0.00628011413484615,Inf,-12.2305198921124,0
Genetic variance,1 - 4,GW,20X,Chr,200,2,DV,-0.105800378062252,0.00628011413484614,Inf,-16.8468877779153,0
Genetic variance,1 - 5,GW,20X,Chr,200,2,DV,-0.0256555562018062,0.0062801141348461,Inf,-4.08520540406307,0.000423478256342591
Genetic variance,2 - 3,GW,20X,Chr,200,2,DV,-0.035905119510563,0.00628011413484604,Inf,-5.71727181060911,1.08018485156514e-07
Genetic variance,2 - 4,GW,20X,Chr,200,2,DV,-0.0648964367218436,0.00628011413484604,Inf,-10.3336396964121,4.78506123613443e-14
Genetic variance,3 - 4,GW,20X,Chr,200,2,DV,-0.0289913172112805,0.00628011413484604,Inf,-4.61636788580297,3.84083576763228e-05
Genetic variance,3 - 5,GW,20X,Chr,200,2,DV,0.0511535046491658,0.00628011413484604,Inf,8.14531448804948,6.3948846218409e-14
Genetic variance,4 - 5,GW,20X,Chr,200,2,DV,0.0801448218604463,0.00628011413484603,Inf,12.7616823738525,0
Genetic variance,1 - 2,CV,2X,Chr,200,2,DV,-0.0237857605954165,0.00628011413484606,Inf,-3.78747266127507,0.00143183196106988
Genetic variance,1 - 3,CV,2X,Chr,200,2,DV,-0.0485748649862199,0.00628011413484607,Inf,-7.73471053920751,1.33559829862406e-13
Genetic variance,1 - 4,CV,2X,Chr,200,2,DV,-0.0633132599427445,0.00628011413484605,Inf,-10.0815460648147,5.41788836017076e-14
Genetic variance,2 - 3,CV,2X,Chr,200,2,DV,-0.0247891043908034,0.0062801141348461,Inf,-3.94723787793244,0.000753362804828517
Genetic variance,2 - 4,CV,2X,Chr,200,2,DV,-0.039527499347328,0.00628011413484606,Inf,-6.29407340353965,3.09053183045194e-09
Genetic variance,3 - 5,CV,2X,Chr,200,2,DV,0.0367765189783148,0.00628011413484607,Inf,5.85602716585281,4.73316419391523e-08
