response,contrast,Recombination,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic variance,Chr - Peri,20X,200,2,2,CV,DV,0.0157128653560042,0.00628011413484601,Inf,2.50200315131526,0.0330629186074647
Genetic variance,Chr - WT,20X,200,2,2,CV,DV,0.0375438931755693,0.00628011413484606,Inf,5.97821828862185,6.76496081375433e-09
Genetic variance,Peri - WT,20X,200,2,2,CV,DV,0.021831027819565,0.00628011413484602,Inf,3.47621513730662,0.00147565335433908
Genetic variance,Peri - WT,2X,200,2,2,CV,DV,0.0192753514022999,0.00628011413484602,Inf,3.06926768979374,0.00607898178762178
Genetic variance,Chr - WT,20X,200,8,2,CV,DV,0.0189208131652816,0.00628011413484606,Inf,3.01281358252661,0.00730141151445818
Genetic variance,Peri - WT,20X,200,8,2,CV,DV,0.016722640183934,0.00628011413484601,Inf,2.66279239912955,0.0211535401415753
Genetic variance,Chr - WT,20X,200,2,3,CV,DV,0.0472006583997646,0.00628011413484607,Inf,7.51589181124358,1.88848936488739e-13
Genetic variance,Peri - WT,20X,200,2,3,CV,DV,0.0398923352257233,0.00628011413484608,Inf,6.3521672328175,6.36815045140793e-10
Genetic variance,Chr - WT,20X,200,8,3,CV,DV,0.0276411830831639,0.00628011413484606,Inf,4.4013822821775,3.20062807303012e-05
Genetic variance,Peri - WT,20X,200,8,3,CV,DV,0.0267251456137611,0.0062801141348461,Inf,4.25551909406755,6.19238001585698e-05
Genetic variance,Chr - WT,20X,200,2,4,CV,DV,0.0478947234587522,0.00628011413484606,Inf,7.62640971650529,9.09272657168003e-14
Genetic variance,Peri - WT,20X,200,2,4,CV,DV,0.0515476759222996,0.00628011413484607,Inf,8.20807947363255,3.50830475781549e-14
Genetic variance,Peri - WT,2X,200,2,4,CV,DV,0.0174650934185913,0.00628011413484607,Inf,2.78101528787253,0.014976722103005
Genetic variance,Chr - WT,20X,200,8,4,CV,DV,0.054789209379676,0.00628011413484605,Inf,8.72423784078553,2.4535928844216e-14
Genetic variance,Peri - WT,20X,200,8,4,CV,DV,0.0432480597747745,0.00628011413484609,Inf,6.88650856435979,1.71761493916733e-11
Genetic variance,Chr - WT,20X,200,2,5,CV,DV,0.0200314261257352,0.00628011413484603,Inf,3.18965956599232,0.00406874795220002
Genetic variance,Peri - WT,20X,200,2,5,CV,DV,0.0219248865099321,0.00628011413484604,Inf,3.49116051701656,0.00139647262318987
Genetic variance,Chr - WT,20X,200,8,5,CV,DV,0.020504955382985,0.00628011413484602,Inf,3.26506094359188,0.00314068601301654
Genetic variance,Peri - WT,20X,200,8,5,CV,DV,0.0168798400722037,0.00628011413484606,Inf,2.68782377354317,0.0196856400976354
Genetic variance,Chr - Peri,20X,200,2,1,GW,DV,-0.020399395471505,0.00628011413484612,Inf,-3.24825234597505,0.00332892441584576
Genetic variance,Peri - WT,20X,200,2,1,GW,DV,0.0183261335792433,0.00628011413484606,Inf,2.91812110190137,0.00985674263329639
Genetic variance,Chr - WT,20X,200,8,1,GW,DV,0.0199115070080547,0.00628011413484608,Inf,3.17056451212772,0.00434050858785473
Genetic variance,Peri - WT,20X,200,8,1,GW,DV,0.0229420257846127,0.00628011413484607,Inf,3.65312242612212,0.000757306369215449
Genetic variance,Chr - WT,20X,2,2,2,GW,DV,0.0584328938981356,0.00628011413484601,Inf,9.30443183729948,3.10862446895044e-14
Genetic variance,Peri - WT,20X,2,2,2,GW,DV,0.0546010799701715,0.00628011413484606,Inf,8.69428147288122,2.4535928844216e-14
Genetic variance,Chr - Peri,2X,2,2,2,GW,DV,-0.0192298638349211,0.00628011413484604,Inf,-3.06202457821931,0.00622470536600717
Genetic variance,Peri - WT,2X,2,2,2,GW,DV,0.0297430494063552,0.00628011413484604,Inf,4.73606828916086,6.50696394399741e-06
Genetic variance,Chr - Peri,20X,200,2,2,GW,DV,-0.0155516761392337,0.00628011413484602,Inf,-2.47633654505469,0.0354185702610852
Genetic variance,Chr - WT,20X,200,2,2,GW,DV,0.0174929796612954,0.00628011413484601,Inf,2.78545569167818,0.0147796140322368
Genetic variance,Peri - WT,20X,200,2,2,GW,DV,0.0330446558005291,0.00628011413484605,Inf,5.26179223673284,4.27219320586758e-07
Genetic variance,Chr - WT,20X,2,8,2,GW,DV,0.0166271967906201,0.00628011413484604,Inf,2.64759468277207,0.0220907341199639
Genetic variance,Peri - WT,20X,2,8,2,GW,DV,0.0176344235006096,0.00628011413484604,Inf,2.80797818669611,0.0138148056938696
Genetic variance,Chr - WT,20X,200,8,2,GW,DV,0.0318508752692506,0.00628011413484602,Inf,5.07170325018807,1.17983054659376e-06
Genetic variance,Peri - WT,20X,200,8,2,GW,DV,0.0268739731501641,0.00628011413484606,Inf,4.27921731566155,5.57066351687396e-05
Genetic variance,Chr - Peri,20X,2,2,3,GW,DV,-0.0182926147563987,0.00628011413484602,Inf,-2.91278380673049,0.0100221643595662
Genetic variance,Chr - WT,20X,2,2,3,GW,DV,0.0289161749560508,0.00628011413484601,Inf,4.60440277599507,1.23376481016013e-05
Genetic variance,Peri - WT,20X,2,2,3,GW,DV,0.0472087897124496,0.00628011413484606,Inf,7.51718658272551,1.87516668859189e-13
Genetic variance,Chr - Peri,20X,200,2,3,GW,DV,-0.0147243254336038,0.00628011413484606,Inf,-2.34459519643184,0.0498869087618785
Genetic variance,Chr - WT,20X,200,2,3,GW,DV,0.0293735167897099,0.00628011413484606,Inf,4.67722658521874,8.67883953015181e-06
Genetic variance,Peri - WT,20X,200,2,3,GW,DV,0.0440978422233137,0.00628011413484609,Inf,7.02182178165054,6.59228227561926e-12
Genetic variance,Chr - WT,20X,2,8,3,GW,DV,0.0215447902848772,0.00628011413484608,Inf,3.43063674039504,0.00174354009378086
Genetic variance,Peri - WT,20X,2,8,3,GW,DV,0.0235252367091157,0.00628011413484611,Inf,3.74598871994739,0.000526967233460574
Genetic variance,Chr - WT,20X,200,8,3,GW,DV,0.0526265566681586,0.00628011413484609,Inf,8.37987264851651,3.10862446895044e-14
Genetic variance,Peri - WT,20X,200,8,3,GW,DV,0.0486936957763871,0.00628011413484615,Inf,7.75363229566209,4.45199432874688e-14
Genetic variance,Chr - WT,2X,200,8,3,GW,DV,0.0266802258498988,0.00628011413484611,Inf,4.24836639542261,6.39263055748351e-05
Genetic variance,Peri - WT,2X,200,8,3,GW,DV,0.0248203046643285,0.00628011413484611,Inf,3.95220598406157,0.000228461262622881
Genetic variance,Peri - WT,20X,2,2,4,GW,DV,0.0157660058202731,0.00628011413484605,Inf,2.51046485489703,0.0323163565780592
Genetic variance,Chr - Peri,20X,200,2,4,GW,DV,-0.0343885553996195,0.00628011413484607,Inf,-5.47578509900162,1.30520908414589e-07
Genetic variance,Chr - WT,20X,200,2,4,GW,DV,0.0405861365958887,0.00628011413484606,Inf,6.46264315017637,3.08649661384663e-10
Genetic variance,Peri - WT,20X,200,2,4,GW,DV,0.0749746919955082,0.00628011413484608,Inf,11.938428249178,0
Genetic variance,Chr - WT,20X,200,8,4,GW,DV,0.0956486256852825,0.00628011413484607,Inf,15.2303960774476,0
Genetic variance,Peri - WT,20X,200,8,4,GW,DV,0.0904328782245925,0.00628011413484605,Inf,14.3998781364201,0
