response,contrast,Map_type,QTL,H2,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
genetic variance,20X - 2X,Chr,200,2,3,CV,0.0302001446807637,0.00526981271420889,Inf,5.73078139937224,9.99690326581754e-09
genetic variance,20X - 2X,Peri,200,2,3,CV,0.0238044595118292,0.00526981271420885,Inf,4.51713576986254,6.2681717820928e-06
genetic variance,20X - 2X,Chr,200,8,3,CV,0.0311671271964543,0.00526981271420887,Inf,5.91427606381896,3.33338403602822e-09
genetic variance,20X - 2X,Chr,200,2,4,CV,0.040525074282813,0.00526981271420886,Inf,7.69004070553518,1.47088222774168e-14
genetic variance,20X - 2X,Peri,200,2,4,CV,0.0234506048687244,0.00526981271420885,Inf,4.44998829000037,8.58749716000718e-06
genetic variance,20X - 2X,Chr,200,8,4,CV,0.0457030318931945,0.00526981271420885,Inf,8.67261027511788,4.22325450219271e-18
genetic variance,20X - 2X,Peri,200,8,4,CV,0.01540810223505,0.00526981271420885,Inf,2.9238424723341,0.00345739665620737
genetic variance,20X - 2X,Chr,2,2,3,GW,0.037593906549125,0.00526981271420883,Inf,7.13382212763685,9.76194672912413e-13
genetic variance,20X - 2X,Peri,2,2,3,GW,0.0288688898456589,0.00526981271420884,Inf,5.47816239613612,4.29765618815493e-08
genetic variance,20X - 2X,Chr,200,2,3,GW,0.0428126261396577,0.00526981271420887,Inf,8.12412669319786,4.50594906874402e-16
genetic variance,20X - 2X,Peri,200,2,3,GW,0.011949946900635,0.00526981271420886,Inf,2.26762269338618,0.0233522133120186
genetic variance,20X - 2X,Chr,2,8,3,GW,0.0206529857957976,0.00526981271420886,Inf,3.91911191456795,8.88758420087318e-05
genetic variance,20X - 2X,Chr,200,8,3,GW,0.045215231230013,0.00526981271420886,Inf,8.58004518986042,9.48358762019302e-18
genetic variance,20X - 2X,Peri,200,8,3,GW,0.0188640352487325,0.00526981271420887,Inf,3.57964054355666,0.000344067162569943
genetic variance,20X - 2X,Chr,2,2,4,GW,0.0296252820591674,0.00526981271420886,Inf,5.62169543127965,1.89092422513511e-08
genetic variance,20X - 2X,Peri,2,2,4,GW,0.0364093714863216,0.00526981271420886,Inf,6.90904467784064,4.87928286549923e-12
genetic variance,20X - 2X,Chr,200,2,4,GW,0.0358511520044114,0.00526981271420886,Inf,6.80311691300657,1.0237949490833e-11
genetic variance,20X - 2X,Peri,200,2,4,GW,0.0191662370342446,0.00526981271420883,Inf,3.63698637383589,0.000275846517608061
genetic variance,20X - 2X,WT,200,2,4,GW,-0.012582133772888,0.00526981271420885,Inf,-2.38758651497484,0.0169594105479112
genetic variance,20X - 2X,Chr,2,8,4,GW,0.0306528827740395,0.00526981271420886,Inf,5.81669300910655,6.00232289136618e-09
genetic variance,20X - 2X,Chr,200,8,4,GW,0.0494975956191557,0.00526981271420886,Inf,9.39266693210873,5.84998928540471e-21
genetic variance,20X - 2X,Peri,200,8,4,GW,0.018990692520313,0.0052698127142088,Inf,3.60367503556798,0.000313749288252966
