response,contrast,Recombination,Map_type,QTL,H2,Repulsion,estimate,SE,df,z.ratio,p.value
genetic gain,CV - GW,20X,Chr,2,2,3,1.31963529019923,0.0685167863192251,Inf,19.2600289810871,1.16313427933907e-82
genetic gain,CV - GW,2X,Chr,2,2,3,0.901398449744846,0.0685167863192263,Inf,13.155877532626,1.57444877635574e-39
genetic gain,CV - GW,20X,Peri,2,2,3,1.16280021529833,0.0685167863192269,Inf,16.9710267770109,1.34558610577753e-64
genetic gain,CV - GW,2X,Peri,2,2,3,0.815632957463748,0.0685167863192275,Inf,11.9041332975487,1.12627393875475e-32
genetic gain,CV - GW,20X,WT,2,2,3,0.89659496721732,0.0685167863192282,Inf,13.0857708801457,3.97110787560823e-39
genetic gain,CV - GW,2X,WT,2,2,3,0.870269497255312,0.0685167863192275,Inf,12.7015516051881,5.79688718145296e-37
genetic gain,CV - GW,20X,Chr,200,2,3,0.34326429028133,0.0685167863192275,Inf,5.00992981022231,5.4449890591356e-07
genetic gain,CV - GW,2X,Chr,200,2,3,0.221009532843564,0.0685167863192271,Inf,3.22562607962751,0.00125697458798061
genetic gain,CV - GW,20X,Peri,200,2,3,0.277075093871548,0.0685167863192275,Inf,4.04390090014764,5.25691463237343e-05
genetic gain,CV - GW,2X,Peri,200,2,3,0.214620222593735,0.0685167863192276,Inf,3.13237432931829,0.00173398642246015
genetic gain,CV - GW,20X,WT,200,2,3,0.193624323287648,0.0685167863192276,Inf,2.82593994390704,0.00471421016860042
genetic gain,CV - GW,20X,Chr,2,8,3,0.868568391799541,0.0685167863192276,Inf,12.6767240330389,7.95893012813619e-37
genetic gain,CV - GW,2X,Chr,2,8,3,0.662102130229831,0.0685167863192271,Inf,9.66335646778623,4.31490050362668e-22
genetic gain,CV - GW,20X,Peri,2,8,3,0.778826512206704,0.0685167863192276,Inf,11.366944570022,6.10887296260291e-30
genetic gain,CV - GW,2X,Peri,2,8,3,0.619472484000978,0.0685167863192275,Inf,9.04117833423747,1.54991940453378e-19
genetic gain,CV - GW,20X,WT,2,8,3,0.568772459272598,0.0685167863192276,Inf,8.30121332052297,1.03053464464809e-16
genetic gain,CV - GW,2X,WT,2,8,3,0.582853425362117,0.0685167863192275,Inf,8.50672450757595,1.78915975973993e-17
genetic gain,CV - GW,20X,Chr,200,8,3,0.526318887425525,0.0685167863192276,Inf,7.68160498616127,1.57107646924789e-14
genetic gain,CV - GW,2X,Chr,200,8,3,0.235658619167242,0.0685167863192273,Inf,3.43942896079922,0.000582942754013694
genetic gain,CV - GW,20X,Peri,200,8,3,0.378719551264592,0.0685167863192276,Inf,5.52739805250196,3.25014976077838e-08
genetic gain,CV - GW,20X,Chr,2,2,4,1.10853805099147,0.0685167863192277,Inf,16.1790724659307,7.0853776816821e-59
genetic gain,CV - GW,2X,Chr,2,2,4,0.837761050843905,0.0685167863192277,Inf,12.2270920142208,2.22771755909584e-34
genetic gain,CV - GW,20X,Peri,2,2,4,0.934234999299258,0.0685167863192275,Inf,13.6351257770111,2.47563656079565e-42
genetic gain,CV - GW,2X,Peri,2,2,4,0.786583973557346,0.0685167863192276,Inf,11.4801644358006,1.65964581019296e-30
genetic gain,CV - GW,20X,WT,2,2,4,0.922604216838927,0.0685167863192276,Inf,13.4653749307565,2.50045747741437e-41
genetic gain,CV - GW,2X,WT,2,2,4,0.866500783540424,0.0685167863192276,Inf,12.6465473658279,1.16900145733247e-36
genetic gain,CV - GW,20X,Chr,200,2,4,0.416261225549433,0.0685167863192274,Inf,6.07531742090216,1.23742700806925e-09
genetic gain,CV - GW,2X,Chr,200,2,4,0.134857900300892,0.0685167863192276,Inf,1.96824614150135,0.0490397235789326
genetic gain,CV - GW,20X,Peri,200,2,4,0.279906283562574,0.0685167863192276,Inf,4.08522201053707,4.40346923627234e-05
genetic gain,CV - GW,2X,Peri,200,2,4,0.202096203524404,0.0685167863192278,Inf,2.94958672729941,0.00318199251295179
genetic gain,CV - GW,2X,WT,200,2,4,0.14033035091941,0.0685167863192276,Inf,2.04811635889627,0.0405485993573508
genetic gain,CV - GW,20X,Chr,2,8,4,0.345267087545299,0.0685167863192275,Inf,5.03916056332036,4.6757810046124e-07
genetic gain,CV - GW,2X,Chr,2,8,4,0.248051609049897,0.0685167863192276,Inf,3.62030419661244,0.000294256860483416
genetic gain,CV - GW,20X,Peri,2,8,4,0.220699033564895,0.0685167863192275,Inf,3.22109435396799,0.00127702098073183
genetic gain,CV - GW,2X,Peri,2,8,4,0.173165214161281,0.0685167863192275,Inf,2.52733999161147,0.0114930181435114
genetic gain,CV - GW,20X,WT,2,8,4,0.37421455999196,0.0685167863192276,Inf,5.461647869012,4.71735080682126e-08
genetic gain,CV - GW,2X,WT,2,8,4,0.28719382547008,0.0685167863192282,Inf,4.191583419164,2.77014295961901e-05
genetic gain,CV - GW,20X,Chr,200,8,4,0.544531117580161,0.0685167863192276,Inf,7.94741182172684,1.90448474973322e-15
genetic gain,CV - GW,20X,Peri,200,8,4,0.271513913212903,0.0685167863192275,Inf,3.96273567104985,7.40958045515559e-05
genetic gain,CV - GW,20X,WT,200,8,4,0.231229067743193,0.0685167863192279,Inf,3.37477981915073,0.000738747705416901
