response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
genetic gain,2 - 8,20X,Chr,2,3,CV,-0.591497408736242,0.0921274332564657,Inf,-6.42042644441882,1.35893120864303e-10
genetic gain,2 - 8,2X,Chr,2,3,CV,-0.703727323523111,0.092127433256449,Inf,-7.63862943586187,2.19546175784197e-14
genetic gain,2 - 8,20X,Peri,2,3,CV,-0.637691049724002,0.0921274332564451,Inf,-6.92183671229535,4.45824968031931e-12
genetic gain,2 - 8,2X,Peri,2,3,CV,-0.638650029170319,0.0921274332564458,Inf,-6.93224598358855,4.14210883318192e-12
genetic gain,2 - 8,20X,WT,2,3,CV,-0.559444429446788,0.0921274332564454,Inf,-6.072506414995,1.25929066377344e-09
genetic gain,2 - 8,2X,WT,2,3,CV,-0.553929818826718,0.0921274332564459,Inf,-6.01264790786908,1.82517172491869e-09
genetic gain,2 - 8,20X,Chr,200,3,CV,-3.60824519871688,0.092127433256449,Inf,-39.1658062227008,0
genetic gain,2 - 8,2X,Chr,200,3,CV,-2.983741862622,0.0921274332564461,Inf,-32.3871159453282,4.16796799246231e-230
genetic gain,2 - 8,20X,Peri,200,3,CV,-3.29265337023812,0.0921274332564456,Inf,-35.7402052119774,9.39185477256609e-280
genetic gain,2 - 8,2X,Peri,200,3,CV,-2.79887720970391,0.0921274332564457,Inf,-30.3804970004207,9.94233734145537e-203
genetic gain,2 - 8,20X,WT,200,3,CV,-2.59101527585183,0.0921274332564459,Inf,-28.1242533767275,4.94960721104383e-174
genetic gain,2 - 8,2X,WT,200,3,CV,-2.83601344398837,0.0921274332564459,Inf,-30.7835933743431,4.34516229969628e-208
genetic gain,2 - 8,20X,Chr,2,4,CV,-0.665980206250482,0.0921274332564488,Inf,-7.22890221413896,4.86913856567834e-13
genetic gain,2 - 8,2X,Chr,2,4,CV,-0.670912574033773,0.0921274332564465,Inf,-7.28244074885074,3.27833942340578e-13
genetic gain,2 - 8,20X,Peri,2,4,CV,-0.689004009569938,0.0921274332564455,Inf,-7.47881478095704,7.49958826088775e-14
genetic gain,2 - 8,2X,Peri,2,4,CV,-0.68394668884291,0.092127433256446,Inf,-7.42391994075289,1.13703904528721e-13
genetic gain,2 - 8,20X,WT,2,4,CV,-0.711924466321045,0.0921274332564459,Inf,-7.72760556933495,1.09588274182791e-14
genetic gain,2 - 8,2X,WT,2,4,CV,-0.727629779155948,0.092127433256446,Inf,-7.89807936068854,2.83233801785339e-15
genetic gain,2 - 8,20X,Chr,200,4,CV,-3.83573305896996,0.0921274332564461,Inf,-41.6350800558266,0
genetic gain,2 - 8,2X,Chr,200,4,CV,-3.1693446226536,0.092127433256446,Inf,-34.4017466961378,2.37431585042759e-259
genetic gain,2 - 8,20X,Peri,200,4,CV,-3.43057734964918,0.0921274332564459,Inf,-37.2373052020219,1.70065164705715e-303
genetic gain,2 - 8,2X,Peri,200,4,CV,-2.8415667636141,0.0921274332564458,Inf,-30.8438720495373,6.76853785460692e-209
genetic gain,2 - 8,20X,WT,200,4,CV,-3.00443588589337,0.092127433256446,Inf,-32.6117398444198,2.79585248767378e-233
