response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
genetic variance,2 - 200,Chr,20X,2,3,CV,-0.124301336509829,0.00526981271420886,Inf,-23.5874296205401,5.18750960504949e-123
genetic variance,2 - 200,Peri,20X,2,3,CV,-0.0993184062006137,0.00526981271420882,Inf,-18.8466671562776,3.12948251405597e-79
genetic variance,2 - 200,WT,20X,2,3,CV,-0.0637744869926622,0.00526981271420886,Inf,-12.1018507585115,1.03256623471896e-33
genetic variance,2 - 200,Chr,2X,2,3,CV,-0.0912498059050464,0.00526981271420891,Inf,-17.3155690446097,3.5895623765543e-67
genetic variance,2 - 200,Peri,2X,2,3,CV,-0.0754972561679002,0.00526981271420886,Inf,-14.3263641920972,1.49758182139215e-46
genetic variance,2 - 200,WT,2X,2,3,CV,-0.0693190449983847,0.00526981271420887,Inf,-13.1539864427215,1.61433729156634e-39
genetic variance,2 - 200,Chr,20X,8,3,CV,-0.0811860131128521,0.00526981271420887,Inf,-15.405863076301,1.49479935672519e-53
genetic variance,2 - 200,Peri,20X,8,3,CV,-0.0580630086719738,0.00526981271420885,Inf,-11.0180402645848,3.12794851206012e-28
genetic variance,2 - 200,WT,20X,8,3,CV,-0.0389817397591384,0.00526981271420886,Inf,-7.39717744693905,1.39109607173918e-13
genetic variance,2 - 200,Chr,2X,8,3,CV,-0.0503130704327849,0.00526981271420887,Inf,-9.54741148525581,1.32977226733048e-21
genetic variance,2 - 200,Peri,2X,8,3,CV,-0.0482309044067398,0.00526981271420887,Inf,-9.15229952607157,5.57343050727584e-20
genetic variance,2 - 200,WT,2X,8,3,CV,-0.0362838019138296,0.00526981271420886,Inf,-6.88521658767844,5.7699679151688e-12
genetic variance,2 - 200,Chr,20X,2,4,CV,-0.139225781234822,0.00526981271420886,Inf,-26.4194932126205,8.18229321248989e-154
genetic variance,2 - 200,Peri,20X,2,4,CV,-0.115274912580083,0.00526981271420885,Inf,-21.8745748343714,4.53721028012479e-106
genetic variance,2 - 200,WT,20X,2,4,CV,-0.0757097684733951,0.00526981271420886,Inf,-14.3666905408727,8.37381443123116e-47
genetic variance,2 - 200,Chr,2X,2,4,CV,-0.0999954358421469,0.00526981271420887,Inf,-18.9751403446524,2.73779402729761e-80
genetic variance,2 - 200,Peri,2X,2,4,CV,-0.0924583403333714,0.00526981271420885,Inf,-17.5449006155529,6.50665351221364e-69
genetic variance,2 - 200,WT,2X,2,4,CV,-0.0819893494241874,0.00526981271420887,Inf,-15.5583042264712,1.3975274477955e-54
genetic variance,2 - 200,Chr,20X,8,4,CV,-0.101994167105486,0.00526981271420885,Inf,-19.3544197178928,1.87089566451964e-83
genetic variance,2 - 200,Peri,20X,8,4,CV,-0.0671917281275984,0.00526981271420885,Inf,-12.7503066563317,3.10521360711563e-37
genetic variance,2 - 200,WT,20X,8,4,CV,-0.0462057021685703,0.00526981271420886,Inf,-8.76799701894284,1.81872648444864e-18
genetic variance,2 - 200,Chr,2X,8,4,CV,-0.0564236999777075,0.00526981271420886,Inf,-10.7069649411968,9.44062382517698e-27
genetic variance,2 - 200,Peri,2X,8,4,CV,-0.0519015330762032,0.00526981271420884,Inf,-9.84883825876063,6.93408108841505e-23
genetic variance,2 - 200,WT,2X,8,4,CV,-0.0414742832298934,0.00526981271420884,Inf,-7.8701626564579,3.54180458110561e-15
genetic variance,2 - 200,Chr,20X,2,3,GW,-0.0492289034348468,0.00526981271420882,Inf,-9.34167988591181,9.48176015254598e-21
genetic variance,2 - 200,Peri,20X,2,3,GW,-0.0392324893091301,0.00526981271420884,Inf,-7.44475969769262,9.71210406003375e-14
genetic variance,2 - 200,WT,20X,2,3,GW,-0.0443110520603444,0.00526981271420885,Inf,-8.40846809239912,4.15400381086658e-17
genetic variance,2 - 200,Chr,2X,2,3,GW,-0.0440101838443141,0.00526981271420887,Inf,-8.35137532035065,6.74726447122201e-17
genetic variance,2 - 200,Peri,2X,2,3,GW,-0.056151432254154,0.00526981271420887,Inf,-10.6552994004425,1.64713798571658e-26
genetic variance,2 - 200,WT,2X,2,3,GW,-0.0424023534737569,0.00526981271420886,Inf,-8.04627332569685,8.53532529574345e-16
genetic variance,2 - 200,Chr,20X,8,3,GW,-0.0596095051603095,0.00526981271420885,Inf,-11.3115035377986,1.15100049705485e-29
