response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic variance,2 - 8,20X,Chr,200,1,CV,DV,0.0202594946575809,0.00628011413484561,Inf,3.22597555117188,0.00125544080781436
Genetic variance,2 - 8,2X,Chr,200,1,CV,DV,0.0282828023431697,0.00628011413484584,Inf,4.50354909733881,6.6827919717684e-06
Genetic variance,2 - 8,20X,Peri,200,1,CV,DV,0.0303157160551229,0.00628011413484592,Inf,4.82725558870224,1.3842741707666e-06
Genetic variance,2 - 8,2X,Peri,200,1,CV,DV,0.0253000590739841,0.00628011413484608,Inf,4.02859860995253,5.61103247940025e-05
Genetic variance,2 - 8,20X,WT,200,1,CV,DV,0.0297632310566592,0.00628011413484609,Inf,4.73928186933956,2.14476980796764e-06
Genetic variance,2 - 8,2X,WT,200,1,CV,DV,0.0250270589271844,0.0062801141348461,Inf,3.98512803904602,6.74437488508738e-05
Genetic variance,2 - 8,20X,Chr,200,2,CV,DV,0.0544373183120788,0.00628011413484606,Inf,8.66820524965079,4.38984870803682e-18
Genetic variance,2 - 8,2X,Chr,200,2,CV,DV,0.0413273477657123,0.00628011413484604,Inf,6.58066826148941,4.68338483984467e-11
Genetic variance,2 - 8,20X,Peri,200,2,CV,DV,0.0409226259374221,0.00628011413484603,Inf,6.51622328173266,7.20996291018071e-11
Genetic variance,2 - 8,2X,Peri,200,2,CV,DV,0.0501684380045443,0.00628011413484602,Inf,7.98845959282464,1.36635235526395e-15
Genetic variance,2 - 8,20X,WT,200,2,CV,DV,0.0358142383017911,0.00628011413484606,Inf,5.70280054355556,1.17854859707342e-08
Genetic variance,2 - 8,2X,WT,200,2,CV,DV,0.0374613609178345,0.006280114134846,Inf,5.96507644820902,2.44519531787813e-09
Genetic variance,2 - 8,20X,Chr,200,3,CV,DV,0.0765272856315343,0.00628011413484608,Inf,12.1856520420405,3.70676711106825e-34
Genetic variance,2 - 8,2X,Chr,200,3,CV,DV,0.0513052515630218,0.00628011413484606,Inf,8.16947757021608,3.09727762958094e-16
Genetic variance,2 - 8,20X,Peri,200,3,CV,DV,0.0701349999268958,0.00628011413484604,Inf,11.1677906517244,5.86208438221812e-29
Genetic variance,2 - 8,2X,Peri,200,3,CV,DV,0.0634337459775981,0.00628011413484609,Inf,10.1007313904738,5.48317054821761e-24
Genetic variance,2 - 8,20X,WT,200,3,CV,DV,0.0569678103149336,0.0062801141348461,Inf,9.07114251297434,1.17775487674845e-19
Genetic variance,2 - 8,2X,WT,200,3,CV,DV,0.0558345225312892,0.00628011413484608,Inf,8.89068595449303,6.07328039283748e-19
Genetic variance,2 - 8,20X,Chr,200,4,CV,DV,0.0459701024417545,0.00628011413484609,Inf,7.31994697145439,2.48068964210941e-13
Genetic variance,2 - 8,2X,Chr,200,4,CV,DV,0.0389310654240128,0.00628011413484606,Inf,6.19910157492179,5.6786376144247e-10
Genetic variance,2 - 8,20X,Peri,200,4,CV,DV,0.0611642045102034,0.00628011413484605,Inf,9.7393460050074,2.04868556282417e-22
Genetic variance,2 - 8,2X,Peri,200,4,CV,DV,0.0440599669407956,0.00628011413484606,Inf,7.01579079531738,2.28651968874884e-12
